dataset,logisticat,logisticat_desb_v2,logisticit,logisticit_desb_v2,logisticregressor
ERA,1.2233333333333332,1.4424000000000001,2.79,2.8156000000000003,1.7345333333333335
ESL,0.3073770491803278,0.49836065573770494,0.3117486338797814,0.6961748633879782,0.39125683060109295
LEV,0.4146666666666667,0.6372,0.42386666666666667,1.0234666666666667,0.5936
SWD,0.4492000000000001,0.6537333333333334,0.48906666666666665,1.0318666666666667,0.5813333333333333
automobile,0.5782051282051281,0.6596153846153847,0.7487179487179486,0.7589743589743588,0.7929487179487179
balance-scale,0.14883227176220806,0.10679405520169852,0.20382165605095542,0.10679405520169852,0.10679405520169852
car,0.08040123456790123,0.07978395061728395,0.0841820987654321,0.0800925925925926,0.07322530864197532
contact-lenses,0.49999999999999994,0.42777777777777776,0.5722222222222223,0.4111111111111111,0.388888888888889
eucalyptus,1.001449275362319,1.0144927536231887,0.9914855072463769,0.998731884057971,1.1054347826086959
newthyroid,0.032098765432098754,0.03641975308641975,0.032098765432098754,0.03641975308641975,0.02469135802469135
pasture,0.48148148148148157,0.4407407407407407,0.42962962962962964,0.4666666666666667,0.42962962962962964
squash-stored,0.42820512820512835,0.5230769230769231,0.47435897435897434,0.5205128205128206,0.5128205128205128
squash-unstored,0.24358974358974356,0.2794871794871795,0.24358974358974364,0.2615384615384616,0.2641025641025641
tae,0.6026315789473684,0.6078947368421053,0.6640350877192983,0.6675438596491229,0.5982456140350878
winequality-red,0.43783333333333335,1.500583333333333,0.43966666666666676,1.89675,0.8125
